Mainboard Time [s],UTM X [m],UTM Y [m],Stiffness [N/m],Leg Ind
365.59302,601140.3218,5022131.547,1669.364791,2
370.40402,601140.401,5022131.493,1450.203114,0
374.898,601140.36,5022131.604,441.9660604,3
379.55103,601140.4238,5022131.538,313.6484238,1
384.872,601140.3219,5022131.536,1130.968388,2
390.84503,601140.4469,5022131.561,1930.733312,0
396.747,601140.4062,5022131.66,366.9110769,3
402.80502,601140.5085,5022131.628,249.9698235,1
408.72903,601140.4145,5022131.627,916.0098785,2
414.71802,601140.5395,5022131.651,2261.820008,0
420.50903,601140.5069,5022131.728,2052.176748,3
426.372,601140.5853,5022131.729,94.0272869,1
432.21503,601140.4834,5022131.728,1745.330636,2
438.09103,601140.6006,5022131.752,1754.686245,0
443.92,601140.56,5022131.84,1543.007602,3
449.95102,601140.6777,5022131.831,171.3268025,1
455.80603,601140.5682,5022131.818,1693.754572,2
461.75302,601140.6852,5022131.853,2241.875972,0
467.46103,601140.6444,5022131.953,2336.79553,3
473.584,601140.7546,5022131.921,147.069077,1
479.40103,601140.6451,5022131.908,726.055112,2
485.25104,601140.7466,5022131.932,1875.685614,0
491.084,601140.7058,5022132.031,658.4914581,3
497.165,601140.808,5022132.011,253.6531244,1
503.114,601140.6985,5022131.998,910.3365472,2
509.16702,601140.8233,5022132.033,1488.598322,0
514.815,601140.7749,5022132.121,580.9321403,3
520.593,601140.8689,5022132.123,179.2322233,1
526.55304,601140.7831,5022132.099,1181.484088,2
532.601,601140.892,5022132.145,1523.451594,0
538.43805,601140.8358,5022132.233,2433.691346,3
544.255,601140.93,5022132.224,115.7537998,1
550.07104,601140.8365,5022132.189,1345.943305,2
556.025,601140.9455,5022132.235,1648.618505,0
561.705,601140.8814,5022132.323,295.337268,3
567.48303,601140.9599,5022132.313,149.9467827,1
573.539,601140.8661,5022132.301,885.1622762,2
579.552,601140.975,5022132.347,2167.151415,0
585.267,601140.9189,5022132.424,835.246961,3
591.22504,601140.9973,5022132.425,130.5609503,1
597.13306,601140.9116,5022132.39,1213.463113,2
603.17303,601141.0124,5022132.459,1578.810213,0
608.937,601140.9642,5022132.536,1589.493004,3
